iter	Logloss
0	0.6918560634
1	0.6906785047
2	0.6894264999
3	0.6883867413
4	0.6874371337
5	0.6864987552
6	0.6856802614
7	0.6848694815
8	0.6841865448
9	0.6834361657
10	0.6826245729
11	0.6818643572
12	0.6812034204
13	0.6803951059
14	0.6796717004
15	0.6788758711
16	0.6783598185
17	0.6777818487
18	0.677177344
19	0.676657826
20	0.6762312558
21	0.6757824197
22	0.6753023634
23	0.6748634005
24	0.6744293163
25	0.6739623493
26	0.6734659077
27	0.6730941357
28	0.6726776142
29	0.6723023961
30	0.6719573833
31	0.6715895543
32	0.6712807166
33	0.671008697
34	0.6707309062
35	0.6704116719
36	0.6701138047
37	0.669772099
38	0.6694361868
39	0.6691394468
40	0.6688568641
41	0.6685541963
42	0.6682903309
43	0.668018367
44	0.6677556415
45	0.667472906
46	0.6670648774
47	0.6668659328
48	0.6665738527
49	0.6663298794
50	0.6661318418
51	0.665893636
52	0.6656384719
53	0.6654544606
54	0.6652596758
55	0.6650042804
56	0.66483545
57	0.6646455055
58	0.664479013
59	0.6642140746
60	0.6639449393
61	0.6637394894
62	0.6635830537
63	0.6633515887
64	0.6632160669
65	0.6630440848
66	0.6629080016
67	0.6627340157
68	0.662493772
69	0.6623189368
70	0.6620791227
71	0.6619440344
72	0.6618022829
73	0.6616578434
74	0.6614725047
75	0.6613315159
76	0.661115742
77	0.660975146
78	0.6608099214
79	0.6606207443
80	0.660492475
81	0.6603362816
82	0.6601912382
83	0.6601039646
84	0.6599870788
85	0.6598427156
86	0.659717087
87	0.6595949938
88	0.659401279
89	0.6592781694
90	0.6591667978
91	0.6589953605
92	0.6589038856
93	0.658731103
94	0.6586404283
95	0.6585423001
96	0.6584292618
97	0.6583113307
98	0.6582064082
99	0.6580893862
100	0.6579787085
101	0.6578491361
102	0.6577453285
103	0.6576175624
104	0.6574704283
105	0.6573874403
106	0.6572836221
107	0.6571739553
108	0.6570409275
109	0.6569046985
110	0.656687499
111	0.6565308117
112	0.6563814084
113	0.6562596724
114	0.6561398738
115	0.6560277755
116	0.6559130934
117	0.6558286588
118	0.6557108743
119	0.6555336177
120	0.655400768
121	0.6553338382
122	0.6552075325
123	0.6551195015
124	0.6549937671
125	0.6548422381
126	0.6547151003
127	0.6545975741
128	0.6544844239
129	0.6543608296
130	0.6542911435
131	0.6542230625
132	0.6541229555
133	0.654029717
134	0.6539340276
135	0.6538410746
136	0.6537161144
137	0.653596432
138	0.6534852355
139	0.6533693895
140	0.6532588905
141	0.6531336406
142	0.6530409644
143	0.6529402751
144	0.6528324058
145	0.652727452
146	0.6526175157
147	0.6524794078
148	0.6523468791
149	0.6522515392
150	0.6521606417
151	0.6520841356
152	0.6519301416
153	0.6518039531
154	0.6517059841
155	0.6515895305
156	0.6515009655
157	0.6514231964
158	0.651362537
159	0.6512238234
160	0.6511084399
161	0.6510268929
162	0.6509101791
163	0.6507763873
164	0.6507028039
165	0.6506348786
166	0.6505723033
167	0.6504478616
168	0.6503727157
169	0.6502621247
170	0.6501543184
171	0.6500244933
172	0.6499417906
173	0.6498534006
174	0.6497424904
175	0.6496149927
176	0.649494482
177	0.6493663717
178	0.6492524137
179	0.6491547533
180	0.6490679114
181	0.6489665958
182	0.6488822705
183	0.6488225041
184	0.648708322
185	0.6486286723
186	0.6485145536
187	0.648434168
188	0.6483040434
189	0.6481757361
190	0.6481142012
191	0.6479892078
192	0.6478646269
193	0.6477486467
194	0.6476427904
195	0.6474900004
196	0.6474081511
