iter	Passed	Remaining
0	12	37200
1	36	54077
2	58	58625
3	83	62282
4	112	67288
5	129	64442
6	147	63195
7	162	60809
8	177	58877
9	190	56930
10	203	55391
11	217	54115
12	230	52943
13	245	52283
14	259	51684
15	274	51105
16	286	50354
17	300	49861
18	314	49317
19	326	48608
20	336	47776
21	347	47060
22	358	46432
23	369	45768
24	381	45431
25	394	45083
26	405	44606
27	415	44086
28	426	43704
29	438	43365
30	449	43035
31	462	42853
32	473	42560
33	485	42338
34	496	42023
35	506	41737
36	519	41578
37	529	41293
38	540	41021
39	551	40843
40	563	40643
41	574	40487
42	585	40253
43	596	40058
44	608	39929
45	619	39786
46	629	39569
47	640	39363
48	651	39215
49	661	39041
50	671	38837
51	682	38716
52	694	38612
53	704	38460
54	715	38322
55	725	38154
56	737	38063
57	749	38029
58	761	37959
59	773	37905
60	786	37906
61	798	37841
62	810	37767
63	822	37710
64	834	37665
65	847	37654
66	858	37578
67	869	37509
68	882	37476
69	893	37389
70	905	37356
71	916	37253
72	927	37180
73	939	37132
74	951	37090
75	961	37003
76	972	36931
77	984	36867
78	994	36773
79	1007	36761
80	1016	36643
81	1028	36584
82	1039	36523
83	1049	36426
84	1059	36335
85	1070	36258
86	1080	36194
87	1091	36127
88	1103	36088
89	1114	36019
90	1123	35910
91	1134	35860
92	1145	35814
93	1155	35737
94	1166	35670
95	1177	35625
96	1188	35575
97	1199	35528
98	1210	35463
99	1221	35418
100	1231	35345
101	1241	35277
102	1252	35220
103	1264	35223
104	1277	35231
105	1289	35192
106	1300	35161
107	1311	35117
108	1322	35083
109	1333	35029
110	1344	34996
111	1355	34953
112	1366	34919
113	1377	34872
114	1388	34829
115	1399	34787
116	1410	34750
117	1420	34689
118	1429	34617
119	1440	34578
120	1451	34545
121	1461	34483
122	1473	34457
123	1483	34397
124	1494	34370
125	1505	34335
126	1516	34305
127	1527	34276
128	1539	34254
129	1550	34238
130	1561	34194
131	1571	34139
132	1582	34108
133	1593	34071
134	1603	34028
135	1614	33992
136	1624	33952
137	1635	33912
138	1646	33888
139	1656	33845
140	1667	33812
141	1677	33772
142	1688	33733
143	1699	33705
144	1710	33676
145	1721	33658
146	1733	33642
147	1743	33601
148	1753	33561
149	1764	33518
150	1774	33479
151	1784	33435
152	1795	33402
153	1806	33384
154	1816	33347
155	1827	33309
156	1838	33284
157	1848	33251
158	1858	33198
159	1867	33154
160	1879	33134
161	1889	33099
162	1900	33075
